,date,article,text,sentiment
467,2023-10-26 00:00:00,Эксперты назвали долг США «непосильным» для правительства страны,"Investing.com — Исследователи пришли к заключению, что США не могут рассчитывать на свой экономический рост, чтобы избежать проблем с огромным государственным долгом размером $33 трлн,  Business Insider.Растущая сумма будет рекордно высоким соотношением долга к ВВП страны примерно к 2029 году. И при сохранении высокой процентной ставки стоимость обслуживания долга может оказаться непосильной.Исследователи из Peter G. Peterson Foundation считают, что долг США неизбежно вырастет еще больше.Исследовательская группа, занимающаяся мониторингом и распространением информации о финансовых проблемах, с которыми сталкиваются США, указала на то, что соотношение долга США к ВВП уже достигло 97% в конце 2022 года.А прогноз бюджетного управления Конгресса говорит о том, что к концу 2023 года отношение долга к ВВП, как ожидается, достигнет 98%. Поэтому к 2029 году накопится долг, равный 107% ВВП, что станет самым высоким, когда-либо зарегистрированным соотношением долга к ВВП.Примерно такое рекордное соотношение национального долга к ВВП было лишь в годы после Второй мировой войны: в 1946 году государственный долг составлял 106% ВВП, но потом снизился благодаря благоприятным условиям на рынке и послевоенному экономическому буму.По прогнозам, ВВП США вырастет на 5,4% в третьем квартале, но при этом правительство не собирается сокращать дефицит бюджета в ближайшее время и примет новый бюджет на финансовый год. и",neutral
947,2023-07-29 00:00:00,"Нефть вряд ли превысит 90 долларов за баррель, считает аналитик","МОСКВА, 28 июл -- ПРАЙМ. Мировые цены на нефть сейчас находятся в благоприятной ситуации для роста, но вряд ли они смогут превысить 90 долларов за баррель в скором времени, дальнейший рост котировок создает риски для глобальной экономики, которой и без того грозит замедление, поделился прогнозом с РИА Новости эксперт Института развития технологий ТЭК Кирилл Родионов.Накануне цена нефти Brent превысила 84 доллара впервые с 19 апреля, однако к вечеру пятницы она чуть снизилась, вернувшись к 83 долларам.По словам эксперта, на котировках сказалось одновременно увеличение спроса и урезание добычи в странах ОПЕК+.""Впрочем, это не означает, что цены будут устойчиво подниматься выше. Дальнейший рост цен создает риски для мировой экономики, которой и без того грозит замедление: согласно июльскому прогнозу МВФ, глобальный прирост ВВП замедлится с 3,5% в 2022 году до 3% в 2023 году. Поэтому цены вряд ли выйдут за отметку в 90 долларов за баррель -- по достижении этого уровня рынок гарантированно будет ждать отскок"", -- прокомментировал эксперт ценовую динамику.Он напомнил, что в мае 2023 года вступило в силу решение о сокращение квот ОПЕК+ на 1,66 миллиона баррелей в сутки, а в июле и августе Саудовская Аравия планировала добровольно сократить добычу на 1 миллиона баррелей. При этом отмена ковид-ограничений в Китае привела к восстановлению авиаперевозок, которые последними из крупных секторов-потребителей нефти возвращаются к докризисному уровню.В результате, по словам Родионова, на рынке возник благоприятный фон для роста цен, который пока что не остановило даже повышение 26 июля ставки ФРС США, ставшее одиннадцатым по счету за последние полтора года.""Последствия роста цен ощущаются и на спотовых котировках Urals (российской флагманской марки нефти -- ред.), которые преодолели отметку в 65 долларов за баррель"", -- заключил эксперт.В среду издание РБК сообщило со ссылкой на данные международного ценового агентства Argus, что цена на российскую нефть Urals 25 июля достигла 65,42 долларов за баррель, а установленный ЕС потолок в 60 долларов впервые с ноября 2022 года превысила 12 июля.",neutral
810,2023-07-30 00:00:00,"Иран нарастил экспорт нефти в Китай за последние три года, пишет СМИ","МОСКВА, 30 июл -- ПРАЙМ. Иран увеличил поставки нефти в Китай в три раза за период 2020-2023 годов, несмотря на санкции, действие которых возобновилось после выхода США из Совместного всеобъемлющего плана действий (СВПД), передает агентство Tasnim со ссылкой на данные аналитической компании Kpler.""Экспорт нефти Ирана в Китай увеличился за последние 3 года (2020-2023 года -- ред.) в три раза, с 324 000 баррелей в день до примерно одного миллиона баррелей в день"", -- говорится в сообщении.В 2015 году Великобритания, Германия, Китай, Россия, США, Франция и Иран заключили ядерную сделку -- Совместный всеобъемлющий план действий (СВПД), что предполагало снятие санкций в обмен на ограничение ядерной программы Ирана. В мае 2018 года США при Дональде Трампе вышли из СВПД и восстановили санкции против Тегерана. В ответ Иран заявил о поэтапном сокращении своих обязательств в рамках соглашения, отказавшись от ограничений в ядерных исследованиях, центрифугах и уровне обогащения урана.В Вене проходили переговоры по возобновлению СВПД и отмене санкций Вашингтона против Тегерана. В декабре 2021 года стороны достигли договоренности по двум проектам соглашения, в которые европейская сторона включила и позиции Ирана. По словам иранского представителя Багери Кяни, переговоры проходили успешно, однако представитель госдепа США Нед Прайс оценил прогресс в Вене как скромный, призвав Тегеран относиться к вопросу серьезно. Сейчас в венском переговорном процессе пауза.",neutral
812,2023-07-30 00:00:00,"Все договоренности с лидерами стран Африки будут исполняться, заявил Путин","С.-ПЕТЕРБУРГ, 30 июл -- ПРАЙМ. Все договоренности, достигнутые на переговорах с лидерами африканских стран, будут исполняться, для развития отношений создана хорошая база, заявил президент России Владимир Путин.""Благодаря нашей дружбе, нашим отношениям мы смогли с вами провести эти мероприятия в течение трех дней, и создали хорошую базу для движения вперед дальше. Все о чем договорились, все будем исполнять"", -- сказал он.В Санкт-Петербурге в День ВМФ прошел военно-морской парад страны. По приглашению Путина мероприятие посетили несколько участников завершившегося накануне саммита ""Россия-Африка"".После парада президент в компании африканских коллег посетил Кронштадт -- осмотрели корабли и посетили музей военно-морской славы.Второй саммит и экономический и гуманитарный форум ""Россия-Африка"" проходил 27-28 июля в Санкт-Петербурге. РИА Новости выступило информационным партнером мероприятия. Путин заявил, что саммит прошел на хорошем уровне и с хорошими результатами.",neutral
268,2024-02-07 00:00:00,Приостановка расчетов с Россией в банке Китая: новости к утру 7 февраля,"Investing.com — Главный банк Китая для российских импортеров остановил расчеты с Россией, а Reuters узнал о негативной реакции в ЕС на идею использовать активы России как залог — эти и другие важные новости к утру среды, 7 февраля, в нашем ежедневном обзоре.Китайский банк Chouzhou Commercial уведомил клиентов об остановке операций с Россией и Белоруссией,  «Ведомостям» источники среди финансовых консультантов, бизнесменов, и в деловых объединениях. Причем остановка проведения расчетов не зависит от платежной системы — транзакции прекращены как в случае со SWIFT, так и с российской СПФС и китайской CIPS.Евросоюз не поддержал предложение Бельгии использовать замороженные российские активы в качестве залога для помощи Украине,  Reuters со ссылкой на осведомленных европейских чиновников. В ЕС считают, что для ареста суверенных активов другой страны нет правовых оснований. Кроме того, предложенная мера может привести к отказу инвесторов от . Собеседники Reuters опасаются, что она также может привести к краху бельгийского депозитария Euroclear, на котором хранится большая часть замороженных российских активов.Банк России увидел тренд на замедление инфляции, следует из  «О чем говорят тренды», подготовленного департаментом исследований и прогнозирования ЦБ. Дезинфляционный тренд начал формироваться в декабре 2023 — январе 2024 года в потребительском сегменте. В то же время темпы роста потребительских цен в этом периоде по-прежнему значимо превышают уровень 4% в пересчете на год.Поставщик IT-решений для финансового сектора «Диасофт»  ценовой диапазон и другие параметры IPO на Мосбирже — от 4000 до 4500 руб. за акцию. Это соответствует оценке бизнеса «Диасофт» от 40 млрд руб. до 45 млрд руб. без учета средств, привлеченных в рамках IPO. Сбор заявок на участие в размещении начинается 7 февраля и завершится предварительно 14 февраля. Первый день торгов акциями — 16 февраля. Тикер — DIAS.Бывшие сотрудники SpaceX обвинили руководство космической компании в дискриминации по половому признаку и неправомерном увольнении работников. Об этом  агентство Bloomberg со ссылкой на официальные жалобы экс-сотрудников SpaceX, которые были направлены в департамент гражданских прав штата Калифорния.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и",neutral
43,2024-04-01 00:00:00,Число россиян со счетами за рубежом: новости к утру 1 апреля,"Investing.com — ФНС раскрыла число россиян со счетами за рубежом, а оппозиция победила партию Эрдогана на местных выборах в Турции впервые за 20 лет — эти и другие важные новости к утру понедельника, 1 апреля, в нашем ежедневном обзоре.По состоянию на 31 декабря 2023 года Федеральной налоговой службе (ФНС) было известно о 539,1 тыс. налоговых резидентов России, обладающих финансовыми счетами за рубежом. Это следует из презентации «Итоги деятельности ФНС России» за 2023 год, с которой  РБК. Данные о владельцах зарубежных счетов служба получает в рамках ежегодного автоматического обмена информацией с иностранными государствами, который, по  самой ФНС, в последние два года стал затруднен.Оппозиционная Народно-республиканская партия (НРП) побеждает на местных выборах Партию справедливости и развития (ПСР) президента Реджепа Тайипа Эрдогана. На выборах в Стамбуле лидирует мэр Экрем Имамоглу, его НРП сохранила за собой пост мэра Анкары и побеждает в Измире. Она также выигрывает еще в 16 городах Турции. Эрдоган и его ПСР терпят поражение впервые за более чем два десятилетия,  Reuters со ссылкой на аналитиков и предварительные результаты выборов.Совет директоров Банка России  переводить денежные средства, а также списывать и зачислять ценные бумаги между счетами типа «С», если они принадлежат разным лицам. При этом возможность перевода денежных средств, принадлежащих одному и тому же лицу, сохраняется, подчеркнули в ЦБ.Строительный бум в Гималаях — регионе, который планирует развивать премьер-министр Индии Нарендра Моди — может привести к природной катастрофе,  Bloomberg. Через Гималаи проходит спорная граница Индии с Китаем, и Моди считает ее укрепление вопросом госбезопасности. Кроме того, он собирается превратить Гималаи в источник возобновляемой энергии, благодаря строительству ГЭС на реках, стекающей с горных ледников. и OpenAI планируют новый проект дата-центра,  The Information со ссылкой на трех источников, близких к обсуждению. По их данным, проект будет включать в себя суперкомпьютер «с миллионами специализированных серверных чипов» для поддержки искусственного интеллекта OpenAI.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.Не забудьте ввести купон в специальное поле при ! и",neutral
309,2023-12-12 00:00:00,Главные новости: суд признал Google Play маркет незаконной монополией,"Investing.com — Инвесторы ожидают публикации отчета по инфляции в США за ноябрь, который, вероятно, повлияет на то, как чиновники Федеральной резервной системы будут подходить к предстоящему решению по процентной ставке. Производитель игры «Fortnite», компания Epic Games, выиграла антимонопольный иск, поданный против  и ее магазина приложений Play.Политики Федеральной резервной системы США будут иметь возможность проанализировать ключевые данные по инфляции за ноябрь, прежде чем представить свое последнее решение по процентной ставке позднее на этой неделе.Экономисты ожидают, что годовой показатель основного индекса потребительских цен (CPI) составил 3,1% в прошлом месяце, немного замедлившись по сравнению с 3,2% в октябре. В месячном исчислении показатель останется неизменным, на уровне октябрьского значения 0,0%.Так называемые базовые потребительские цены, которые исключают волатильные статьи, такие как продукты питания и энергоносители, по прогнозам, вырастут на 4,0% в годовом исчислении, что соответствует предыдущему месяцу. В месячном исчислении рост базовых цен оцениваются как 0,3%, что выше, чем 0,2% в октябре.Данные могут дать представление о влиянии длительного периода повышения процентной ставки ФРС на рост цен в крупнейшей экономике мира. Хотя многие наблюдатели прогнозируют, что центральный банк вскоре начнет снижать стоимость заимствований, глава ФРС Джером Пауэлл подчеркнул, что чиновники будут продолжать действовать осторожно в поисках доказательств того, что недавний период повышенной инфляции подавлен.Во вторник начнется последнее в этом году двухдневное заседание ФРС, и большинство наблюдателей практически уверены, что чиновники решат оставить процентную ставку без изменений на более чем 22-летнем максимуме — от 5,25 до 5,50%.Комментарии , особенно те, которые касаются планов ФРС по возможному снижению ставки в 2024 году, скорее всего, займут большую часть внимания.Перед Пауэллом, который в течение почти 6-летнего пребывания на посту самого влиятельного центрального банка мира наблюдал за эрой исторически быстрого ужесточения монетарной политики, стоит непростая задача — попытаться обеспечить гибкость ФРС в корректировке ставки по мере необходимости для снижения инфляции до целевого уровня 2%.«Появляется все больше доказательств того, что жесткая денежно-кредитная политика и ограничительные условия кредитования оказывают желаемое воздействие на инфляцию, — говорится в записке аналитиков ING. — Однако ФРС не захочет одобрять рыночные ценообразование на значительное снижение ставки, пока не будет уверена, что ценовое давление подавлено».Наряду с заявлениями Пауэлла инвесторы также смогут ознакомиться с ежеквартальным точечным графиком, который показывает, каким члены ФРС видят соответствующий путь денежно-кредитной политики в будущем. По данным CME FedWatch Tool, вероятность снижения ставки в мае следующего года составляет почти 50%.Американские фондовые фьючерсы немного выросли во вторник, пока инвесторы готовятся к предстоящему выходу данных по потребительским ценам в США и началу заседания ФРС.К 05:00 по восточному времени (10:00 по Гринвичу) контракт на Dow прибавил 82 пункта или 0,2%, фьючерс на S&P 500 вырос на 6 пунктов или на 0,1%, а  поднялся на 28 пунктов или на 0,2%.Основные средние индексы на Уолл-стрит завершили понедельник в зеленом цвете, продлив недавнюю серию побед третий день подряд. Базовый индекс ,  и технологический  достигли лучших значений за весь год, что усиливает надежды на возможное ралли в конце года.Федеральный суд присяжных в Сан-Франциско вынес решение против компании Google в громком антимонопольном иске, поданном против технологического гиганта производителем игры Fortnite компанией Epic Games.Epic утверждала, что компания Google использовала свой магазин приложений Play как незаконную монополию, которая несправедливо взимала высокие комиссии с разработчиков и подавляла конкуренцию на рынке приложений для Android. Согласно судебным документам, после более чем месячного разбирательства присяжные вынесли решение в пользу Epic по всем пунктам.Суд начнет решать, какие изменения Google необходимо будет внести в январе.В заявлении, которое цитирует Reuters, Google заявила, что будет обжаловать решение суда, добавив, что продолжит защищать бизнес-модель Android и останется глубоко преданной своим пользователям, партнерам и всей экосистеме Android.Главный исполнительный директор Epic Тим Суини, тем временем, заявил о победе над Google в посте на социальной медиаплатформе X.Цены на нефть выросли во вторник после того, как нападение на коммерческий танкер с химикатами, совершенное группировкой хуситов, усилило беспокойство по поводу насилия на Ближнем Востоке.К 04:56 по восточному времени фьючерс на нефть марки  со сроком истечения в феврале подорожал на 0,3% до $76,28 за баррель, а на  — на 0,4% до $71,85 за баррель.Однако рост цен был ограниченным, поскольку трейдеры проявляли некоторую осторожность перед выходом важного отчета по инфляции в США и предстоящим решением ФРС по ставке.Признаки застойной инфляции в США в предстоящих данных могут убедить политиков в необходимости более длительного повышения стоимости заимствований. Эта тенденция может подорвать спрос в крупнейшем мировом потребителе топлива. и",neutral
756,2024-01-14 00:00:00,Топ-5 недели: отчеты по прибыли банков,"Investing.com — Данные о розничных продажах и прибыли банков США станут главными событиями этой укороченной праздничной недели, пока рынок ожидает новых сведений о состоянии американских потребителей. Мировые лидеры соберутся в Давосе, Китай опубликует данные по ВВП за весь год, а цены на нефть, похоже, останутся волатильными. Вот что нужно знать в начале недели.За выходящими в среду в США данными по розничным продажам будут пристально следить в поисках признаков того, что потребительские расходы — основной фактор экономического роста — остаются устойчивыми в условиях повышенной процентной ставки.Федеральная резервная система повысила ставку в прошлом году в попытке сдержать инфляцию. Но поскольку рост цен замедлился, потенциальные темпы снижения процентной ставки в этом году, а также то, удастся ли экономике избежать рецессии, являются ключевыми вопросами, стоящими перед рынком.Ожидается, что розничные продажи в США в декабре выросли на 0,4% после увеличения на 0,3% в ноябре.Данные по началу строительства жилья и по продажам домов, как ожидается, укажут на то, что рынок жилья все еще испытывает трудности в условиях повышения стоимости заемных средств.Инвесторы также получат возможность выслушать мнение нескольких чиновников ФРС, включая управляющего ФРС Кристофера Уоллера, а также главу ФРБ Атланты Рафаэля Бостика и главу ФРБ Сан-Франциско Мэри Дейли.После неоднозначных результатов, полученных крупными кредиторами в пятницу, во вторник и среду должны отчитаться Goldman Sachs (NYSE: ) и  (NYSE: ) соответственно.Крупнейшие банки США отчитались о снижении прибыли в неспокойном четвертом квартале, омраченном специальными расходами и сокращениями рабочих мест, а также признаками того, что рост доходов за счет высокой процентной ставки ослабевает, и некоторые потребительские кредиты начинают проседать.Тем не менее крупнейшие кредиторы страны — JPMorgan (NYSE: ),  (NYSE: ), Bank of America (NYSE: ) и  (NYSE: ) — выступили с оптимистичной оценкой состояния экономики, отметив, что потребительский спрос остается устойчивым, даже когда дефолты по потребительским кредитам начали возвращаться на допандемический уровень.Джейми Даймон, генеральный директор крупнейшего американского банка JPMorgan Chase, являющегося индикатором состояния экономики США, заявил, что потребители продолжают тратить деньги, и что рынок ожидает «мягкой посадки», но предупредил, что государственные расходы могут продолжать способствовать росту цен.В понедельник на швейцарском горнолыжном курорте Давос стартует 54-й ежегодный Всемирный экономический форум под названием «Восстановление доверия».Политические деятели, руководители центральных банков и бизнесмены обсудят сложные перспективы мировой экономики: события на Украине и в Газе, проблемы торговли и растущий уровень задолженности — все это на повестке дня.Премьер-министр Китая Ли Цян и президент Франции Эммануэль Макрон, единственный лидер G7, участвующий в Давосе, должны выступить со специальными речами.У главы Европейского центрального банка Кристин Лагард запланировано 3 выступления. Директор-распорядитель Международного валютного фонда Кристалина Георгиева, президент Всемирного банка Аджай С. Банга и генеральный директор Всемирной торговой организации Нгози Оконджо-Ивеала также примут участие в конференции.В среду Китай опубликует данные за полный год по своему ВВП, которые покажут, насколько близко вторая по величине экономика мира подошла к достижению официального целевого показателя роста 5% к 2023 году.Затянувшийся кризис недвижимости, осторожность потребителей и геополитические проблемы также указывают на то, что китайскую экономику ждет еще один неровный год.В понедельник Германия опубликует данные за полный год по ВВП, которые могут показать, что в 2023 году крупнейшая экономика еврозоны пережила неглубокую рецессию.В среду, на следующий день после выхода последних данных по занятости, Великобритания опубликует данные по инфляции. Ожидается, что базовая инфляция останется значительно выше целевого уровня Банка Англии 2%.Банк Англии заявил, что планирует сохранять высокую процентную ставку в течение длительного периода, чтобы гарантировать, что резкий рост инфляции не вызовет долгосрочных проблем в экономике, но инвесторы надеются на первое снижение ставки уже в мае.Цены на нефть, похоже, останутся волатильными на этой неделе после роста на 1% в пятницу, поскольку все большее число нефтяных танкеров изменили курс из Красного моря после ударов США и Великобритании по целям хуситов в Йемене после атак на суда со стороны поддерживаемой Ираном группировки.За неделю марка  снизилась на 0,5%, а  — на 1,1%. В начале недели резкое снижение цен ведущим экспортером Саудовской Аравией и неожиданное увеличение запасов нефти в США подстегнули опасения по поводу предложения.Хотя отсутствие судоходства через Красное море создает проблемы с транспортировкой некоторых партий сырой нефти, влияние на рынки физической нефти пока минимально», — сказал агентству Reuters Мэтт Стефани, президент инвестиционно-консалтинговой компании Cavanal Hill Investment Management.«Если конфликт распространится на другую сторону Аравийского полуострова, нефтяные рынки могут отреагировать гораздо более сильно», — добавил Стефани.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 37% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при ! и",neutral
540,2023-10-16 00:00:00,Падение индекса биржи Тель-Авива: новости к утру 16 октября,"Investing.com — Индекс Тель-Авивской биржи упал до минимальных значений с середины 2021 года, а Йеллен предложит ЕС меры для получения доходов с замороженных российских активов — эти и другие важные новости к утру понедельника, 16 октября, в нашем ежедневном обзоре.Флагманский индекс Тель-Авивской фондовой биржи  в воскресенье днем снизился более чем на 3,5% на фоне заявлений Израиля о намерении начать наземную операцию в секторе Газа, а также растущей напряженности на границе с Ливаном. Индекс (учитывает цены 35 компаний с самой высокой рыночной капитализацией на бирже) снизился до минимальных значений с середины 2021 года,  Bloomberg. Острее всего на события в стране реагируют акции банков, этот сектор за прошлую неделю упал на 12,3% на связанных с волатильностью опасениях.Министр финансов США Джанет  на этой неделе в Люксембурге планирует призвать европейских чиновников предпринять конкретные шаги, чтобы получить доходы, полученные от заблокированных на европейских счетах российских активов на сумму около $200 млрд. Об этом  Axios со ссылкой на собеседника в администрации президента США.Итальянская Ferrari начала принимать оплату за свои спорткары в США в криптовалюте, эту практику компания намерена в дальнейшем распространить на Европу и другие регионы, где законодательство позволяет расплачиваться криптовалютами,  Reuters директор компании по маркетингу и коммерции Энрико Гальера.Японская  в августе запустила процесс ликвидации российского бизнеса,  РБК со ссылкой на данные сервиса Rusprofile. Местное юрлицо ООО «Фуджитсу Технолоджи Солюшнз» будет ликвидировано в августе 2024 года. Fujitsu приостановила прямые поставки своей продукции и услуг после начала специальной военной операции на Украине, но до сих пор не заявляла о полном уходе с российского рынка.Группа  подписала сделку по приобретению 100% девелоперской ГК МИЦ у Андрея Рябинского, Александра Копылкова и других акционеров, сообщила пресс-служба «Самолета». Сумма сделки не раскрывается. Но источники, близкие к ее сторонам,  Forbes, что речь идет о 45 млрд рублей. и",neutral
181,2024-02-01 00:00:00,"Эксперты считают, что «большой драмы» в экономике США не предвидится","Investing.com — Трейдеры на американском фондовом рынке считают, что инвесторы слишком самодовольны, хотя в целом у экономики страны нет поводов для беспокойства, поскольку потребительские расходы не показали спада,  Business Insider.Эксперты видят главные очаги риска в сфере коммерческой недвижимости, и пока качество кредитов в порядке, большой драмы не предвидится.Что касается сегодняшней экономики США, то она относительно здорова, что отвергает опасения Уолл-стрит по поводу сокращения потребительских расходов и последующей рецессии. Плюсом можно назвать и то, что у потребителей все еще есть деньги, и на данный момент ситуация не изменилась.Опасения может вызвать тот факт, что инвесторы стали слишком самодовольными после эйфории на рынке. Некоторые аналитики на Уолл-стрит обеспокоены из-за потенциальной массовой волны дефолтов в сфере недвижимости, в результате которой под угрозой будут миллиарды долларов.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при ! и",neutral
