,date,article,text
48,2024-04-02 00:00:00,Главные новости: конец кризиса для UBS и Credit Suisse,"Investing.com — Во вторник Уолл-стрит будет торговаться ниже с учетом уменьшения вероятности снижения ставки в первой половине года после сильных экономических данных по США. Rubrik планирует IPO, а UBS объявила о новой программе выкупа акций.Американские фондовые фьючерсы во вторник торгуются преимущественно ниже, продолжив ослабление с предыдущей сессии на опасениях, что снижение ставки Федеральной резервной системой будет отложено до второй половины года.К 04:25 по восточному времени (09:25 по Гринвичу) контракт на Dow снизился на 105 пунктов, или на 0,3%, фьючерс на S&P 500 упал на 2 пункта, или на 0,1%, а  вырос на 5 пунктов, или на 0,1%.Основные индексы закрылись в понедельник преимущественно ниже:  упал на 240 пунктов, или на 0,6%, S&P 500 — на 0,2%. Индекс , специализирующийся на технологиях, изменил тенденцию, поднявшись на 0,1%.Слабость рынка последовала за данными о росте производственного сектора в США, которые поставили под сомнение вероятность снижения ставки Федеральной резервной системой в июне.Во вторник предстоит «переварить» еще больше экономических данных, включая данные по вакансиям и заказам длительного пользования, оба набора — за февраль, а в пятницу выйдет широко ожидаемый отчет по платежным ведомостям за март.Публикация сильных данных по США в сфере производственной деятельности в понедельник заставила трейдеров отказаться от ожиданий первого в этом году снижения процентной ставки Федеральной резервной системой.Инструмент FedWatch от CME теперь учитывает 61,3%-ную вероятности снижения ставки ФРС в июне, по сравнению с 70,1%-ной вероятностью неделю назад.Это благоприятно сказалось на американской валюте: , который измеряет курс валюты против ее основных конкурентов, торгуется чуть ниже 4-месячного максимума 105,07, отмеченного в понедельник.Эта сила лучше всего видна на фоне японской иены: пара  торгуется чуть ниже уровня 152, который в последний раз послужил поводом для интервенции японских властей в 2022 году.Это ослабление иены произошло, несмотря на первое с 2007 года повышение процентной ставки Банком Японии в прошлом месяце, что побудило министра финансов страны Шуничи Судзуки повторить во вторник, что он не исключает никаких вариантов реагирования на беспорядочные движения курса.Рынок IPO набирает обороты после того, как в понедельник компания Rubrik объявила о планах по размещению своих акций, пополнив растущую волну компаний, обращающихся к рынку капитала после двухлетнего затишья.Платформа кибербезопасности следует за недавними дебютами  (NYSE: ) и  (NASDAQ: ).После рекордного по количеству IPO в 2021 году стремительный рост инфляции и процентной ставки привел к тому, что инвестиции в технологические компании на государственном и частном рынке сократились.Выручка компании за финансовый год, завершившийся в январе, выросла примерно на 5% до $627,9 млн, но чистый убыток увеличился с $277,7 млн годом ранее до $354,2 млн.Rubrik планирует торговать на Нью-Йоркской фондовой бирже под тикером «RBRK».Компания UBS (SIX: ) выходит из кризиса, связанного с ее слиянием с проблемным конкурентом  (SIX:), в относительно сильном положении, даже несмотря на сомнения в точности финансовых отчетов последнего.На прошлой неделе в своем годовом отчете UBS сообщил, что существует риск того, что существенная ошибка не будет обнаружена UBS и может привести к существенному искажению финансовых результатов Credit Suisse.Однако швейцарский банковский гигант продемонстрировал уверенность в завтрашнем дне, объявив во вторник о новой программе выкупа акций на сумму до $2 млрд, которая начнется в среду.Эта программа следует за программой обратного выкупа акций в 2022 году, когда UBS выкупил 298,5 млн своих акций, что эквивалентно 8,6% его акций, на сумму $5,2 млрд.До объявления этой сделки UBS уже выкупил свои акции на сумму около 1,2 млрд швейцарских франков ($1,32 млрд).Цены на нефть выросли во вторник благодаря признакам улучшения спроса в Китае и США, крупнейших странах-потребителях нефти в мире.К 04:25 по восточному времени фьючерс на  торговался на 1,3% выше, по $84,81 за баррель, а контракт на  поднялся на 1,2%, до $88,48 за баррель.Опубликованные ранее на этой неделе данные показали, что в марте производственная активность в Китае выросла впервые за шесть месяцев, а в США — впервые за более чем год, что должно привести к росту спроса на нефть со стороны этих двух экономических гигантов.В то же время опасения по поводу новых перебоев в поставках с богатого нефтью Ближнего Востока усилились после смертоносного израильского удара по посольству Ирана в Сирии, ознаменовавшего эскалацию войны в секторе Газа между Израилем и движением ХАМАС, которое поддерживается Ираном.Организация стран-экспортеров нефти и ее союзники — ОПЕК+ — проведут в среду онлайн-заседание Совместного комитета по мониторингу на уровне министров, чтобы проанализировать ситуацию на рынке.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !"
888,2023-07-30 00:00:00,"В московском аэропорту ""Внуково"" задерживают часть рейсов","МОСКВА, 30 июл -- ПРАЙМ. Часть рейсов на вылет и прилет в столичном аэропорту ""Внуково"" задерживаются, следует из данных онлайн-табло.Почти все рейсы на вылет, которые были запланированы с 4.00 до 6.00, задержаны как минимум до 5.55, кроме одного.Рейсы на прилет с 3.00 до 4.00 задержаны минимум до 6.00, а рейс из Анкары, которы должен был прибыть во ""Внуково"" в 4.35, задержан до 5.35. По расписанию в этом промежутке времени -- только рейс на прибытие из Еревана (5.35 мск).При этом рейсы с прибытием во Внуково в 6.20 и 6.50 -- из Новосибирска и Шарм-эш-Шейха -- также указаны в онлайн-табло без задержек.Практически все рейсы с прибытием с 7.00 до 8.00 также задержаны, среди них -- как внутренние, так и международные.Мэр столицы Сергей Собянин ранее в воскресенье заявил, что ночью совершена атака украинских беспилотников, незначительно повреждены фасады на двух офисных башнях Сити, жертв и пострадавших нет."
993,2023-07-28 00:00:00,"Доллар на Мосбирже завершил неделю на отметке 91,71 рубля","МОСКВА, 28 июл -- ПРАЙМ. Рубль по итогам торгов пятницы и недели в целом ослаб к доллару и юаню, следует из данных Московской биржи.Курс доллара расчетами ""завтра"" на 19.00 мск (к закрытию) за день вырос на 1,11 рубля, до 91,71 рубля, юаня -- на 16 копеек, до 12,8 рубля, евро подорожал на 96 копеек, до 100,92 рубля.Доллар за неделю вырос на 79 копеек, юань -- на 18 копеек, а евро подешевел на 28 копеек."
645,2023-09-06 00:00:00,Китай может так никогда и не догнать США,"Investing.com — Вторая по величине экономика мира — Китай, возможно, не сможет заменить США в качестве крупнейшей в мире, пишет Business Insider.По прогнозам Bloomberg Economics, в середине 2040-х годов ВВП КНР ненадолго превысит ВВП США, а затем будет отставать. А пока Пекин пытался возобновить экономический рост и укрепить проблемный сектор недвижимости.Все это подтверждает лишний раз, что Китай вряд ли навсегда заберет «корону первенства» у США как крупнейшей экономики мира.Прогноз учитывает экономические трудности Китая в этом году после почти 3 лет жесткого карантина из-за коронавируса, в частности, рост  оказался намного ниже ожиданий из-за дефляции и долговой проблемы на рынке недвижимости.Президент США Джо Байден назвал экономику Китая «бомбой замедленного действия», спад которой замедлит весь глобальный рост.Китай, по мнению экспертов Bloomberg Economics, переходит на более медленный путь роста, чем ожидалось, вследствие замедления восстановления страны после пандемии, углубляющегося спада сектора недвижимости и тающей уверенности в правильном управлении экономикой. Предполагается, что ВВП страны замедлится с нынешнего уровня более 6% до 1% к 2050 году."
686,2023-08-25 00:00:00,Глава МИД Германии признала неэффективность санкций против России,"Investing.com — Несмотря на 11 раундов санкций против России со стороны ЕС, российская экономика оказалась устойчивой, что дало повод министру иностранных дел Германии Анналене Бербок выразить разочарование эффективностью санкций, так и не достигших желаемого эффекта,  Business Insider.«Экономические санкции должны иметь экономический эффект. Но это не так», — сказала она.Напомним: ЕС ввел 11 раундов санкций против России с февраля 2022 года, чтобы оказать давление на Кремль. США также ввели масштабные санкции против России, однако российская экономика не только не упала, но и продолжает расти.Отчет за этот год, опубликованный швейцарским банком UBS, показал, что в прошлом году США и Европа потеряли триллионы долларов из частного капитала.Устойчивость российской экономики сбила с толку экономистов, которые предсказывали катастрофические последствия беспрецедентных санкций. и"
307,2023-12-11 00:00:00,У ИИ от Google есть шансы стать «умнее» GPT-4,"Investing.com — На этой неделе компания  представила Gemini, своего конкурента чат-бота GPT-4 от OpenAI, который превосходит его в математике, программировании и предметных знаниях на самом продвинутом уровне. По утверждению Google, это первая модель, которая успешно конкурирует с экспертами в тесте по 57 предметным областям,  Business Insider.Gemini имеет 3 разных модели, которые различаются по размеру и возможностям, и ее самая продвинутая модель Gemini Ultra пока недоступна для широкой публики, но призвана выполнять очень сложные задачи. Она превосходит GPT-4 в широком спектре операций: от истории и права до генерации кода на Python.Gemini превзошла GPT-4 в тесте на массовое многозадачное понимание языка (MMLU), который является одним из самых популярных методов оценки знаний и навыков для ИИ.Эксперты утверждают, что MMLU немного сложнее обычного экзамена для подготовки к поступлению в колледж: он охватывает 57 предметов, включая математику, физику, историю, право, медицину и этику. Gemini Ultra набрал 90% по MMLU, а GPT-4 — 86,4%. Люди-эксперты набрали около 89,8%.Но одно из преимуществ Gemini перед другими моделями заключается в том, что он изначально мультимодален, то есть разработан с нуля для обработки нескольких типов данных: от текста до аудио, от кода до изображений и видео, тогда как другие мультимодальные модели были созданы путем «сшивания» моделей, состоящих только из текста, из изображения и из звука. и"
548,2023-10-31 00:00:00,«Криптовалюты — риск для финансового рынка РФ»: новости к утру 31 октября,"Investing.com — Банк России счел криптовалюты и стейблкоины риском для российского финансового рынка, а трафик альтернативной SWIFT Системы передачи финансовых сообщений ЦБ вырос в разы — эти и другие важные новости к утру вторника, 31 октября, в нашем ежедневном обзоре.Криптовалюты и стейблкоины при недостатке регулирования могут заменить национальные валюты в расчетах,  Банк России в проекте «Основные направления развития финансового рынка Российской Федерации на 2024 год и период 2025 и 2026 годов». О криптовалютах Центробанк упоминает в разделе, в котором указаны риски для развития российского финансового рынка. Одним из факторов ЦБ считает распространение «цифровых денежных суррогатов», таких как криптовалюты и стейблкоины. По мнению регулятора, при отсутствии глобального регулирования такие валюты могут значительно распространиться в мире, вытесняя национальные валюты.На конец сентября пользователями Системы передачи финансовых сообщений (СПФС) были около 550 организацией, в том числе 150 нерезидентов из более 15 стран. Об этом  «Коммерсантъ» со ссылкой на проект документа ЦБ об основных направлениях развития финансового рынка России на 2024–2026 годы. Из него следует, что трафик СПФС в первом квартале 2023 года вырос в четыре раза по сравнению с тем же периодом прошлого года и превысил 40 млн сообщений.Курс  упал на 86 копеек, или 0,92%, опустившись до 92 руб. по состоянию на 9:59 МСК, свидетельствуют данные Московской биржи. Так дешево доллар не стоил на бирже со 2 августа текущего года. Курс  снижается на 93 копейки, или 0,95%, до 97,71 руб.Россия в ноябре может нарастить экспорт нефти до 3,6-3,7 млн баррелей в сутки (б/с) — максимума с мая 2023 года. Об этом  «Коммерсантъ» со ссылкой на прогноз аналитической компании Kpler. В октябре морские поставки российской нефти составят 3,5 млн б/с — против 3,45 млн б/с в сентябре, ожидают аналитики.Компания «Диасофт», один из крупнейших разработчиков автоматизированных банковских систем и поставщик IT-решений для финансового сектора, планирует провести первичное публичное размещение (IPO) на Московской бирже в течение года. Об этом  «Коммерсантъ» со ссылкой на два источника, знакомых с планами развития компании. и"
163,2024-02-16 00:00:00,"Китай не намерен снижать ставку, пока юань не стабилизируется","Investing.com — Народный банк Китая Центральный банк будет поддерживать состояние денежной ликвидности и денежно-кредитную политику стабильными, чтобы еще больше не ослаблять национальную валюту — ,  Bloomberg.Согласно оценке агентства Bloomberg, проведенному среди аналитиков, на этой неделе Народный банк Китая оставит ставку по однолетним кредитам, называемым среднесрочным кредитным механизмом, на неизменном уровне 2,5%. Также ожидается, что НБК проведет операции по ликвидности в первый рабочий день после окончания лунного Нового года, то есть в это воскресенье.Страна сталкивается с серьезной проблемой: падением потребительских цен самыми быстрыми темпами с 2009 года, и потому опасения по поводу волатильности юаня ограничивают простор действий НБК. Центральный банк отказался недавно сокращать ставку. Позже было объявлено о более значительном, чем ожидалось, сокращении нормы резервных требований для банков, чтобы повысить настроения инвесторов.Снижение ставки сейчас, пак признают эксперты, может плохо повлиять на юань. Ситуация в экономике сейчас может быть достаточно тяжелой, чтобы центральный банк как можно скорее снизил ставку. Но НБК может потребоваться сначала дождаться дальнейших доказательств замедления роста экономики, а потом уже действовать.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !"
487,2023-10-20 00:00:00,Экономисты повысили прогнозы роста экономики США,"Investing.com — На этой неделе экономисты повысили свои прогнозы роста экономики США до начала 2024 года и снизили вероятность рецессии благодаря устойчивости потребительских трат,  Bloomberg.Экономика США продемонстрировала в третьем квартале, как предполагается, рост на 3,5% в годовом исчислении благодаря повышению прогноза расходов домохозяйств. И хотя в следующие 2 квартала ожидается замедление такого роста, экономисты остаются оптимистично настроенными и даже повысили свои оценки роста ВВП.Устойчивость на рынке труда все так же поддерживает расходы домохозяйств, несмотря на возросшую процентную ставку и инфляцию. Прогнозы занятости на следующий год были повышены, и потому экономисты теперь видят равные шансы на рецессию в следующем году.Например, экономисты компании ING видят залог роста экономики в солидных потребительских расходах: домохозяйства стремились сохранить прежний образ жизни, используя сбережения и беря кредиты, хотя инфляция все же разрушает покупательную способность.Ожидается, что базовый индекс цен на личные потребительские расходы, который не включает такие волатильные элементы, как продукты питания и энергию, вырастет на 2,6% в 2024 году.Также ожидается более медленное снижение ставки в следующем году, что может быть связано с сильными экономическими данными, которые удержат ставку на высоком уровне в течение длительного времени, а также с недавним ростом доходности долгосрочных казначейских облигаций. и"
667,2023-09-12 00:00:00,Прогноз роста ВВП Китая в 2023 году снижен до 5%,"Investing.com — Согласно опросу экономистов, экономика Китая в этом и следующем году будет расти меньше, чем предполагалось ранее из-за проблем с долгами сектора недвижимости страны, пишет Reuters.Вторая по величине экономика мира вырастет в этом году только до 5%, а в следующем году — на 4,5%, так как ее тянет назад огромный долг из-за десятилетий инвестиций в инфраструктуру и спада в сфере недвижимости, что создает риски даже для мировой экономики.В исследовании учитывалось то, что благосостояние домохозяйств на 70% связано с ослабленным рынком недвижимости, в сочетании с растущей безработицей среди молодежи, слабым потребительским спросом и нежеланием находящихся в долгах частных предприятий инвестировать.Рост сектора недвижимости испарился и уже не вернется, отсюда и такие «медвежьи» прогнозы, когда даже сами аналитики удивлены скоростью снижения темпов роста.Опрос Reuters, проведенный 4–11 сентября с участием 76 аналитиков, базирующихся в Китае и за его пределами, предсказал до конца года рост ВВП всего лишь на 5,0%, что ниже прогноза от июля, в котором говорилось о 5,5%. и"
503,2023-10-27 00:00:00,Международная встреча по Украине без Китая: новости к утру 27 октября,"Investing.com — Третья международная встреча по урегулированию на Украине пройдет без Китая, а Еврокомиссия расширила критерии обхода антироссийских санкций — эти и другие важные новости к утру пятницы, 27 октября, в нашем ежедневном обзоре.Третья международная встреча по урегулированию военного конфликта на Украине пройдет на Мальте с представителей более 55 стран, но Китай не будет присутствовать на ней. Об этом  агентство Bloomberg со ссылкой на источники. Отсутствие представителей Китая, как сообщают журналисты Bloomberg, «станет разочарованием» для президента Украины Владимира Зеленского, который стремится получить международную поддержку своего мирного плана.Европейская комиссия  разъяснения, фактически расширяющие основания считать, какая структура действует «от имени или по указанию» российской компании, включенной в санкционный список. Если такое отношение установлено, санкции ЕС должны распространяться и на такую структуру независимо от доли владения. В частности, регулятор указал, что, если российская компания незадолго до попадания в санкционный перечень снизила долю в другой фирме ниже 50%, последняя, «вероятно», все равно действует в интересах подсанкционной организации. Внимание на обновление обратил телеграм-канал Compliance practice.Популярная у россиян биржа Bybit стала бенефициаром изменений, происходящих на криптовалютном рынке. За последние пять месяцев торговая площадка смогла заметно увеличить пул ликвидности, следует из данных агрегатора p2p-сервисов Monetory.io, с которыми  Forbes. Если в мае медианный объем предложения в течение торгового дня на продажу криптовалюты на этой бирже колебался в пределах $4,2 млн-$6,2 млн, то в сентябре речь шла о $7,4 млн-$9,8 млн.Банк России зарегистрировал проспект депозитарных расписок на акции  и допустил их к публичному обращению в России. Об этом  в материалах регулятора. Каждая американская депозитарная акция представляет одну обыкновенную акцию Ozon Holdings PLC, говорится в пресс-релизе Ozon (есть у Forbes).Компания не выпускает новые акции или ценные бумаги в рамках регистрации проспекта — на Мосбирже продолжат обращаться уже выпущенные ADS.Акции агентств K-Pop (Korean pop, популярного музыкального направления) упали из-за расследования в отношении южнокорейского певца G-Dragon и звезды фильма «Паразиты»,  Bloomberg. Акции музыкального конгломерата , управляющего агентства популярной южнокорейской k-pop-группы BTS, упали почти на 12%. Котировки агентств SM Entertainment, YG Entertainment и JYP Entertainment потеряли примерно 7%. и"
760,2024-02-08 00:00:00,МЭА: Индия станет крупнейшим потребителем нефти в ближайшие 7 лет,"Investing.com — Международное энергетическое агентство в своем новом отчете прогнозирует, что через 6 лет — к 2030 году спрос на нефть в Индии увеличится на 1,2 млн баррелей в день, что составит примерно треть прироста мирового спроса, и Китаю придется уступить этой стране звание основного драйвера роста мирового спроса на нефть,  Business Insider.Уже в 2023 году Индия стала вторым по величине нетто-импортером сырой нефти в мире, а в Китае, между тем, как и в ряде других стран, рост экономики замедляется, а затем и совсем может пойти вспять.Экономика Индии продолжит расти вместе с ростом демографии. На промышленный сектор к 2030 году будет приходиться около половины роста спроса на нефть в стране и более шестой части общего роста мирового спроса.В то же время китайская экономика будет стагнировать, так и не восстановившись после COVID-19 на фоне краха сектора недвижимости и бегства иностранных инвесторов с фондового рынка страны.Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться .А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: PRO4EVERYONE.Не забудьте ввести купон в специальное поле при !"
516,2023-10-05 00:00:00,"«То же, что и в 1987 году»: SG предупредил о риске удара по рынку","Investing.com — Фондовый рынок США подает тревожные сигналы, и любой признак рецессии сейчас может спровоцировать большую распродажу, предупредил Альберт Эдвардс, стратег Société Générale (EPA: ), как сообщает Business Insider.Эдвардс подчеркнул силу американского рынка акций, несмотря на рост доходности облигаций, которая увеличилась, поскольку инвесторы видят больше возможностей для роста от более продолжительного повышения процентной ставки Федеральной резервной системой США. Доходность по 10-летним облигациям США недавно превысила 16-летний максимум, поднявшись во вторник примерно до 4,768%.И все же трынок акций был относительно устойчив весь год. Несмотря на резкие потери в августе и сентябре, индекс  все еще на 10% выше январских уровней.Но если история покажет, что на фоне роста доходности по облигациям этот рост будет более успешным, то это может стать предупреждением о грядущих трудностях. Нынешние перспективы напоминают преддверие «черного понедельника», предупредил Эдвардс: тогда акции держались на фоне растущей доходности облигаций, а затем  упал на 22% за одну торговую сессию, что стало самым резким однодневным падением в истории.«Нынешняя устойчивость фондового рынка в условиях роста доходности облигаций очень напоминает мне события 1987 года, когда оптимизм инвесторов в акции был окончательно подавлен, — предупредил Эдвардс в своей записке во вторник. — Как и в 1987 году, любой намек на рецессию сейчас, несомненно, станет сокрушительным ударом по акциям».Неопределенность в отношении направления развития экономики растет, и прогнозы колеблются весь год. В то время как экономисты с воодушевлением обсуждали идею «мягкой посадки» экономики в середине 2023 года, последний рост доходности облигаций омрачил перспективы.По оценкам ФРБ Нью-Йорка, вероятность того, что США войдут в рецессию в августе 2024 года, составляет 61%."
910,2023-07-29 00:00:00,"Зеленского поставили перед ужасным выбором, констатировал разведчик ВС США","МОСКВА, 29 июл -- ПРАЙМ. После провала контрнаступления Украине придется выбирать один из двух плохих вариантов, заявил в материале для Consortium News экс-разведчик ВС США Скотт Риттер.По его словам, на сегодняшний день Украине остается ""выбирать яд"" по своему усмотрению -- согласиться на мир, приняв территориальные претензии России и навсегда отказавшись от возможности членства в НАТО, либо продолжить борьбу и потерять еще больше территорий и украинцев.Трагизм украинского конфликта, по мнению Риттера, заключается в том, что за вступление в западный клуб от Зеленского потребовали заплатить жизнями своих соотечественников.Зеленский принял условия этой сделки, пишет разведчик, но цель Запада по нанесению России стратегического поражения так и осталась недостигнутой.""Когда жертва не принесла желаемого результата (стратегического поражения России), дверь в НАТО, которую оставили приоткрытой, чтобы поддразнить Украину для выполнения ее самоубийственной задачи, захлопнулась"", -- констатировал Риттер и добавил, что после конфликта Североатлантический альянс столкнется с экзистенциальным кризисом и сам будет вынужден бороться за свое существование в новом, ныне формирующемся мировом порядке.""Вильнюсский саммит 11-12 июля во многом стал кульминацией старого европейского порядка. Саммит стал реквиемом по кошмару, созданному самой Европой"", -- заключил разведчик."
561,2023-09-25 00:00:00,Первая массовая лицензия на разблокировку активов: новости к утру 25 сентября,"Investing.com — Бельгия выдала первую лицензию на коллективную разблокировку активов, а клиенты « Инвестиций» пожаловались на списание комиссии 15% вместо 1,5% — эти и другие важные новости к утру понедельника, 25 сентября, в нашем ежедневном обзоре.Минфин Бельгии удовлетворил коллективную заявку на разблокировку активов в Euroclear, поданную крупной российской управляющей компанией. Это первый известный случай, когда регулятор выдал лицензию на разморозку активов в ответ на коллективное, а не индивидуальное обращение,  «Коммерсантъ».Клиенты «Тинькофф (LON:) Инвестиций» , что брокер списал с них комиссию в размере 15% вместо указанных в тарифах 1,5% при покупке замороженных фондов FinEx. В пресс-службе брокера «РБК Инвестициям»  эту информацию, отметив, что списания произошли по ошибке.Россия успешно справляется с санкциями «большой семерки» по ограничению цен на экспорт нефти,  Financial Times со ссылкой на данные страховых и судоходных компаний и аналитической компании Kpler. Анализ этих данных показал, что 75% всех морских поставок российской нефти в августе осуществлялось без западной страховки. Это основной инструмент воздействия для обеспечения потолка цен на уровне $60 за баррель, введенного G7, отмечает газета.Банки Сингапура ужесточили проверки клиентов из ряда стран из-за скандала с отмыванием 2,4 млрд сингапурских долларов ($1,8 млрд),  Financial Times со ссылкой на источники. Кредитные учреждения предупредили клиентов, что период ожидания для открытия счетов в частном бэнкинге вырос с менее чем с месяца до трех-четырех месяцев, а некоторые уже существующие счета были закрыты, отмечают источники.Основатель Virgin Group, британский миллиардер Ричард Брэнсон объявил о создании коалиции по борьбе с изменениями климата «Стражи планеты» (Planetary Guardians),  NBC news. В коалицию войдут 14 лидеров мнений, в том числе актер Роберт Редфорд и экс-президент Колумбии, лауреат Нобелевской премии Мануэль Сантос. Ее подход к решению экологических проблем Брэнсон описал как «планетарный». и"
