index,input,name,qty,range_end,unit,comment
42,2 teaspoons Dijon mustard,Dijon mustard,2.0,0.0,teaspoon,
43,cup heavy cream,heavy cream,0.0,0.0,cup,
44,2 cups whole milk,milk,2.0,0.0,cup,whole
45,1/2 teaspoon hot red pepper flakes,hot red pepper flakes,0.5,0.0,teaspoon,
46,3 tablespoons flour,flour,3.0,0.0,tablespoon,
47,5 cups coarsely grated extra-sharp Cheddar,Cheddar,5.0,0.0,cup,coarsely grated extra-sharp
48,2 cups panko or coarse dry bread crumbs,bread crumbs,2.0,0.0,cup,panko or coarse dry
49,5 tablespoons unsalted butter,unsalted butter,5.0,0.0,tablespoon,
50,Salt,Salt,0.0,0.0,,
51,Sprigs of watercress,watercress,3.0,0.0,sprig,
52,"3/4 pound shiitake mushrooms, stemmed and quartered",shiitake mushrooms,0.75,0.0,tablespoon,stemmed and quartered
53,2 tablespoons extra-virgin olive oil,olive oil,2.0,0.0,tablespoon,extra-virgin
54,Kosher salt and black pepper,salt and black pepper,1.0,0.0,pinch,Kosher
55,"1 2-pound beef tenderloin roast, cut from the large end, trimmed and tied at 1/2 -inch intervals with kitchen twine",beef tenderloin,2.0,0.0,pound,"1 2-pound roast, cut from the large end, trimmed and tied at 1/2-inch intervals with kitchen twine"
56,1/8 teaspoon ground cinnamon,cinnamon,0.13,0.0,teaspoon,ground
57,1 tablespoon cocoa powder,cocoa powder,1.0,0.0,tablespoon,
58,"3 tablespoons medium-roast coffee beans, finely ground",coffee beans,3.0,0.0,tablespoon,"medium-roast, finely ground"
59,1 teaspoon light-brown sugar,brown sugar,1.0,0.0,teaspoon,light
60,Kosher salt,salt,0.0,0.0,,Kosher
61,1/4 cup heavy cream,heavy cream,0.25,0.0,cup,
62,2 1/2 cups chicken stock,chicken stock,2.5,0.0,cup,
63,4 large cloves garlic,garlic,4.0,0.0,clove,
64,1 1/2 cups chopped white onion,onion,1.5,0.0,cup,chopped white
65,3 tablespoons unsalted butter,unsalted butter,3.0,0.0,tablespoon,
66,1 6-inch white-corn tortilla,white-corn tortilla,1.0,0.0,,6-inch
67,2 dried pasilla chilies,pasilla chilies,2.0,0.0,,dried
68,1 teaspoon pomegranate molasses,pomegranate molasses,1.0,0.0,teaspoon,
69,2 dashes of Angostura bitters,Angostura bitters,2.0,0.0,dash,
70,1/2 ounce apple schnapps,apple schnapps,0.5,0.0,ounce,
71,1/2 ounce sweet vermouth,sweet vermouth,0.5,0.0,ounce,
72,2 ounces applejack,applejack,2.0,0.0,ounce,
73,"1 orange slice 1 1/4-inch thick, cut in half",orange,1.0,0.0,slice,"1 1/4-inch thick, cut in half"
74,1 cup sugar,sugar,1.0,0.0,cup,
75,"12 ounces cranberries, washed and picked over",cranberries,12.0,0.0,ounce,washed and picked over
76,"1 1/2 cups strawberries (about 1 pint), hulled and halved",strawberries,1.5,0.0,cup,"(about 1 pint), hulled and halved"
77,3 bananas,bananas,3.0,0.0,,
78,3 tablespoons Triple Sec,Triple Sec,3.0,0.0,tablespoon,
79,3 tablespoons fresh lemon juice,lemon juice,3.0,0.0,tablespoon,fresh
80,3/4 cup fresh orange juice,orange juice,0.75,0.0,cup,fresh
81,"3 papayas (1 pound each), peeled and cut into 1-inch chunks (about 4 cups)",papayas,3.0,0.0,,"(1 pound each), peeled and cut into 1-inch chunks (about 4 cups)"
82,"6 kiwis (3 to 4 ounces each), peeled and cut into rounds about 1/4-inch thick",kiwis,6.0,0.0,,"(3 to 4 ounce each), peeled and cut into rounds about 1/4-inch thick"
83,"3 McIntosh apples (8 ounces each), peeled, quartered, cored and cut into thin wedges (about 3 cups)",McIntosh apples,3.0,0.0,,"(8 ounce each), peeled, quartered, cored and cut into thin wedges (about 3 cups)"
84,"3 Anjou pears (8 ounces each), peeled, halved, cored and thinly sliced lengthwise (about 3 cups)",Anjou pears,3.0,0.0,,"(8 ounces each), peeled, halved, cored and thinly sliced lengthwise (about 3 cups)"
85,"1 small pineapple, peeled, cored and cut into 1-inch chunks (about 3 cups)",pineapple,1.0,0.0,,"small, peeled, cored and cut into 1-inch chunks (about 3 cups)"
86,"9 juice oranges (6 ounces each), peeled and sectioned",oranges,9.0,0.0,,"juice (6 ounces each), peeled and sectioned"
87,"2 small pink grapefruits (12 ounces each) or 1 large pink grapefruit, peeled and sectioned",grapefruits,2.0,0.0,,"small pink (12 ounces each) or 1 large pink grapefruit, peeled and sectioned"
88,"3 cups seedless grapes, equal amounts of red and green",grapes,3.0,0.0,cup,"seedless, equal amounts of red and green"
89,"18 kumquats, thinly sliced",kumquats,18.0,0.0,,thinly sliced
90,1 cup sifted granulated sugar (optional),sugar,1.0,0.0,cup,sifted granulated (optional)
91,1 teaspoon pure vanilla extract,vanilla extract,1.0,0.0,teaspoon,pure
92,1 1/4 cups cake flour,cake flour,1.25,0.0,cup,
93,Pinch of kosher salt,salt,1.0,0.0,pinch,of kosher
94,"3 egg whites, from Grade A large eggs",egg,3.0,0.0,,"whites, from Grade A large eggs"
95,1/2 cup dark brown sugar,brown sugar,0.5,0.0,cup,dark
96,"3/4 cup unsalted butter, at room temperature",unsalted butter,0.75,0.0,cup,at room temperature
97,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
98,5 tablespoons Pernod,Pernod,5.0,0.0,tablespoon,
99,4 teaspoons kosher salt,salt,4.0,0.0,teaspoon,kosher
100,1/4 cup fresh lemon juice,lemon juice,0.25,0.0,cup,fresh
101,1 cup olive oil,olive oil,1.0,0.0,cup,
102,1 cup fresh orange juice,orange juice,1.0,0.0,cup,fresh
103,"3 heads fennel, tops removed and thinly sliced across the bulb (about 6 cups)",fennel,3.0,0.0,head,tops removed and thinly sliced across the bulb (about 6 cups)
104,"2 large heads romaine lettuce, torn into small pieces (about 8 cups)",romaine lettuce,2.0,0.0,head,torn into small pieces (about 8 cups)
105,6 bunches watercress (about 12 cups of sprigs),watercress,6.0,0.0,bunch,about 12 cups of sprigs
106,"2 1/2 pounds bell peppers (about 6 peppers in assorted colors), cut into 2-inch chunks",bell peppers,2.5,0.0,pound,"(about 6 peppers in assorted colors), cut into 2-inch chunks"
107,"3/4 pound mushrooms, cut into 1/4-inch slices through the stem (4 cups)",mushrooms,0.75,0.0,pound,cut into 1/4-inch slices through the stem (4 cups)
108,4 pounds rigatoni,rigatoni,4.0,0.0,pound,
109,2 bay leaves,bay leaves,2.0,0.0,,
110,2 tablespoons kosher salt,salt,2.0,0.0,tablespoon,kosher
111,"5 pounds sweet Italian sausage in casing, cut into 1-inch lengths",sausage,5.0,0.0,pound,"sweet Italian in casing, cut into 1-inch lengths"
112,1/2 teaspoon hot red-pepper flakes,red-pepper flakes,0.5,0.0,teaspoon,hot
113,1/4 teaspoon freshly ground black pepper,black pepper,0.25,0.0,teaspoon,freshly ground
114,2 tablespoons kosher salt,salt,2.0,0.0,tablespoon,kosher
115,1 teaspoon thyme,thyme,1.0,0.0,teaspoon,
116,1 1/2 teaspoons oregano,oregano,1.5,0.0,teaspoon,
117,2 28-ounce cans crushed tomatoes,tomatoes,56.0,0.0,ounce,2 cans crushed
118,1/2 cup olive oil,olive oil,0.5,0.0,cup,
119,"8 cloves garlic, peeled and smashed",garlic,8.0,0.0,clove,peeled and smashed
120,2 cups parsley leaves,parsley leaves,2.0,0.0,cup,
121,3/4 cup of liquid from cooked mussels,liquid from cooked mussels,0.75,0.0,cup,
122,4 tablespoons drained and rinsed capers,capers,4.0,0.0,tablespoon,drained and rinsed
123,1/2 teaspoon freshly ground black pepper,Freshly ground black pepper,0.5,0.0,teaspoon,
124,1 tablespoon kosher salt,kosher salt,1.0,0.0,tablespoon,
125,1/4 cup good quality olive oil,good quality olive oil,0.25,0.0,cup,
126,1/2 cup fresh lemon juice,fresh lemon juice,0.5,0.0,cup,
127,"3/4 pound white onion, quartered and thinly sliced (2 cups)",onion,0.75,0.0,pound,"white, quartered and thinly sliced (2 cups)"
128,"8 stalks (about 1 1/2 pounds) celery, peeled and cut diagonally into 1/4-inch slices",celery,8.0,0.0,stalk,"(about 1 1/2 pounds), peeled and cut diagonally into 1/4-inch slices"
129,4 9-ounce boxes frozen artichoke hearts,frozen artichoke hearts,4.0,0.0,box,(9-ounce boxes)
130,1 teaspoon kosher salt,kosher salt,1.0,0.0,teaspoon,
131,"3 1/4 pounds medium shrimp (20-24 to the pound), shelled",medium shrimp,3.25,0.0,pound,"(20-24 to the pound), shelled"
132,"6 1/2 pounds mussels (about 6 dozen), scrubbed and beards removed",mussels,6.5,0.0,pound,"(about 6 dozen), scrubbed and beards removed"
133,1/2 teaspoon sugar,sugar,0.5,0.0,teaspoon,
134,1 teaspoon Asian sesame oil,Asian sesame oil,1.0,0.0,teaspoon,
135,10 ounces brussels sprouts,brussels sprouts,10.0,0.0,ounce,
136,2 scallions,scallions,2.0,0.0,,
137,"8 Italian, French or Greek black olives",black olives,8.0,0.0,,"Italian, French or Greek"
138,4 ripe plum tomatoes,plum tomatoes,4.0,0.0,,ripe
139,1 teaspoon olive oil,olive oil,1.0,0.0,teaspoon,
140,1 cup whole-wheat couscous,whole-wheat couscous,1.0,0.0,cup,
141,No-salt added beef stock or broth,beef stock or broth,0.0,0.0,,No-salt added
142,8 ounces pork tenderloin,pork tenderloin,8.0,0.0,ounce,
143,1 clove garlic,garlic,1.0,0.0,clove,
144,1/2 teaspoon ground ginger,ground ginger,0.5,0.0,teaspoon,
145,1 teaspoon cumin,cumin,1.0,0.0,teaspoon,
146,1 teaspoon ground cinnamon,cinnamon,1.0,0.0,teaspoon,ground
147,1 teaspoon ground cloves,cloves,1.0,0.0,teaspoon,ground
148,1 teaspoon ground ginger,ginger,1.0,0.0,teaspoon,ground
149,2 teaspoons baking soda,baking soda,2.0,0.0,teaspoon,
150,1 1/2 teaspoons kosher salt,salt,1.5,0.0,teaspoon,kosher
151,2 cups all-purpose flour,all-purpose flour,2.0,0.0,cup,
152,1 large egg,egg,1.0,0.0,,large
153,"1 cup sugar, plus 1/4 cup for dusting the cookies",sugar,1.0,0.0,cup,plus 1/4 cup for dusting the cookies
154,4 tablespoons dark molasses,molasses,4.0,0.0,tablespoon,dark
155,"3/4 cup bacon fat, cooled (from 1 1/2 to 2 pounds Oscar Mayer bacon)",bacon fat,0.75,0.0,cup,cooled (from 1 1/2 to 2 pounds Oscar Mayer bacon)
156,"Maple syrup, optional",Maple syrup,0.0,0.0,,optional
157,1 1/4 cups chopped fresh cranberries,cranberries,1.25,0.0,cup,chopped fresh
158,1 1/2 teaspoons salt,salt,1.5,0.0,teaspoon,
159,2 tablespoons plus 2 teaspoons baking powder,baking powder,8.0,0.0,teaspoon,
160,2 tablespoons sugar,sugar,2.0,0.0,tablespoon,
161,1/2 cup yellow cornmeal,yellow cornmeal,0.5,0.0,cup,
162,2 cups flour,flour,2.0,0.0,cup,
163,4 large eggs,eggs,4.0,0.0,,large
164,2 cups milk,milk,2.0,0.0,cup,
165,Salt,Salt,0.0,0.0,,
166,"10 tablespoons butter, cut into chunks, plus more for greasing pan",butter,10.0,0.0,tablespoon,"cut into chunks, plus more for greasing pan"
167,1/2 tablespoon butter,butter,0.5,0.0,tablespoon,
168,1/2 cup heavy cream,heavy cream,0.5,0.0,cup,
169,2 tablespoons sugar,sugar,2.0,0.0,tablespoon,
170,2 teaspoons cream cheese,cream cheese,2.0,0.0,teaspoon,
171,2 teaspoons cornstarch,cornstarch,2.0,0.0,teaspoon,
172,2 cups apple cider,apple cider,2.0,0.0,cup,
173,3/4 teaspoon pumpkin-pie spice,pumpkin-pie spice,0.75,0.0,teaspoon,
174,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
175,1/2 cup packed light brown sugar,light brown sugar,0.5,0.0,cup,packed
176,2 Granny Smith apples,Granny Smith apples,2.0,0.0,,
177,2 gala apples,gala apples,2.0,0.0,,
178,Chopped fresh parsley leaves for garnish,chopped fresh parsley leaves for garnish,0.0,0.0,,
179,"1 lemon, thinly sliced","lemon, thinly sliced",1.0,0.0,,
180,Flour for dredging,flour for dredging,0.0,0.0,,
181,1 cup mixed good olives,mixed good olives,1.0,0.0,cup,
182,"8 to 12 thin slices veal, preferably from the leg, pounded slightly until less than 1/4-inch thick","veal, preferably from the leg, pounded slightly until less than 1/4-inch thick",8.0,12.0,slice,
183,Salt and pepper,salt and pepper,0.0,0.0,,
184,2 cups chopped tomatoes (canned are fine; drain them first),chopped tomatoes (canned are fine; drain them first),2.0,0.0,cup,
185,1 teaspoon minced garlic,minced garlic,1.0,0.0,teaspoon,
186,Extra virgin olive oil as needed,extra virgin olive oil as needed,0.0,0.0,,
187,Freshly grated Parmesan,Parmesan,0.0,0.0,,Freshly grated
188,"1/4 cup chopped fresh basil, optional",basil,0.25,0.0,cup,"chopped fresh, optional"
189,1/4 cup chopped fresh parsley,parsley,0.25,0.0,cup,chopped fresh
190,"6 cups stock or water, more as necessary",stock,6.0,0.0,cup,"or water, more as necessary"
191,2 cups chopped tomatoes (canned are fine; do not drain),tomatoes,2.0,0.0,cup,chopped (canned are fine; do not drain)
192,"1 cup dried white beans, soaked for several hours or overnight",white beans,1.0,0.0,cup,"dried, soaked for several hours or overnight"
193,"1 cup farro, spelt or barley",farro,1.0,0.0,cup,spelt or barley
194,1 tablespoon minced garlic,garlic,1.0,0.0,tablespoon,minced
195,Salt and pepper,Salt and pepper,0.0,0.0,,
196,"2 carrots, peeled and chopped",carrots,2.0,0.0,,peeled and chopped
197,"2 celery stalks, trimmed and chopped",celery,2.0,0.0,stalk,trimmed and chopped
198,"1 large onion, sliced",onion,1.0,0.0,,"large, sliced"
199,2 tablespoons extra virgin olive oil,olive oil,2.0,0.0,tablespoon,extra virgin
200,Chopped fresh parsley leaves for garnish,parsley leaves,0.0,0.0,,Chopped fresh for garnish
201,Black pepper,Black pepper,0.0,0.0,,
202,1/3 cup extra virgin olive oil,olive oil,0.33,0.0,cup,extra virgin
203,2 pounds potatoes,potatoes,2.0,0.0,pound,
204,"1 1/2 to 2 pounds thick-cut cod, whiting, or hake fillets",cod,1.5,2.0,pound,"thick-cut, whiting, or hake fillets"
205,Coarse salt as needed,salt,0.0,0.0,,Coarse as needed
206,1 teaspoon vanilla extract,vanilla extract,1.0,0.0,teaspoon,
207,"2 tablespoons unsalted butter, at room temperature and cut into 4 pieces","unsalted butter, at room temperature and cut into 4 pieces",2.0,0.0,tablespoon,
208,"5 ounces bittersweet chocolate, melted and still warm","bittersweet chocolate, melted and still warm",5.0,0.0,ounce,
209,2 large egg yolks,large egg yolks,2.0,0.0,,
210,1/4 teaspoon salt,salt,0.25,0.0,teaspoon,
211,1 large egg,large egg,1.0,0.0,,
212,2 tablespoons cornstarch,cornstarch,2.0,0.0,tablespoon,
213,2 tablespoons cocoa,cocoa,2.0,0.0,tablespoon,
214,6 tablespoons sugar,sugar,6.0,0.0,tablespoon,
215,2 1/4 cups whole milk,whole milk,2.25,0.0,cup,
216,3 tablespoons slivered almonds,almonds,3.0,0.0,tablespoon,slivered
217,Pinch of salt,salt,1.0,0.0,pinch,
218,1 1/4 teaspoons vanilla extract,vanilla extract,1.25,0.0,teaspoon,
219,7 egg whites,egg,7.0,0.0,,whites
220,10 tablespoons confectioners' sugar,confectioners' sugar,10.0,0.0,tablespoon,
221,2/3 cup heavy cream,heavy cream,0.67,0.0,cup,
222,"4 1/2 tablespoons flour, preferably cake flour",flour,4.5,0.0,tablespoon,preferably cake flour
223,"About 2/3 cup blanched almonds, finely ground",almonds,0.67,0.0,cup,"About blanched, finely ground"
224,3/4 cup granulated sugar,sugar,0.75,0.0,cup,granulated
225,4 egg yolks,egg,4.0,0.0,,yolks
226,1/3 cup plus 1/4 cup kirsch or dark rum,rum,0.58,0.0,cup,kirsch or dark
227,"2 16-ounce cans dark cherries, pitted",cherries,32.0,0.0,ounce,"2 16-ounce cans dark, pitted"
228,2 tablespoons chopped parsley,parsley,2.0,0.0,tablespoon,chopped
229,2 tablespoons chopped parsley,parsley,2.0,0.0,tablespoon,chopped
230,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
231,"3 large cloves garlic, smashed",garlic,3.0,0.0,clove,smashed
232,5 tablespoons tomato paste,tomato paste,5.0,0.0,tablespoon,
233,6 cups chicken stock,chicken stock,6.0,0.0,cup,
234,1 cup sliced onion,onion,1.0,0.0,cup,sliced
235,1 1/2 pounds hot Italian or Spanish sausage,sausage,1.5,0.0,pound,hot Italian or Spanish
236,"2 ducks, about 4 1/2 pounds each",ducks,2.0,0.0,,"about, 4 1/2 pounds each"
237,1 2 1/2-pound chunk of slab bacon,slab bacon,2.5,0.0,pound,1 2 1/2-pound chunk of
238,"Bouquet garni of 1 sprig thyme, 2 bay leaves, parsley stalks and 3 large cloves garlic",bouquet garni,1.0,0.0,,"1 sprig thyme, 2 bay leaves, parsley + stalks and 3 large cloves garlic"
239,"4 medium carrots, peeled and sliced",carrots,4.0,0.0,,"medium, peeled and sliced"
240,"1 onion, peeled and stuck with 2 cloves",onion,1.0,0.0,,peeled and stuck with 2 cloves
241,Rind from 1/2 pound salt pork,salt pork,0.5,0.0,pound,Rind from
242,2 pounds (5 1/2 cups) dry white beans (Great Northern),beans,5.0,0.0,pound,(5 1/2 cups) dry white (Great Northern)
243,"Pyrex cups or ramekins, buttered",Pyrex cups,0.0,0.0,,"or ramekins, buttered"
244,"8 scallop shells, Pyrex cups or ramekins, buttered",scallop shells,8.0,0.0,,buttered
245,"3 tablespoons fresh parsley, chopped",parsley,3.0,0.0,tablespoon,"fresh, chopped"
246,"2/3 cup stale bread crumbs, from good bread",bread crumbs,0.67,0.0,cup,"stale, from good bread"
247,1 stick plus 2 tablespoons butter,butter,10.0,0.0,tablespoon,
248,"About 8 shallots, to yield 1 cup, minced",shallots,8.0,0.0,,"About, to yield 1 cup, minced"
249,"Black pepper, freshly ground",Black pepper,0.0,0.0,,freshly ground
250,Salt,Salt,0.0,0.0,,
251,"2 to 3 dozen scallops, to yield 1 pound",scallops,2.0,3.0,dozen,to yield 1 pound
252,2 tablespoons unsalted butter,unsalted butter,2.0,0.0,tablespoon,
253,2 to 3 teaspoons minced jalapeño,jalapeños,2.0,3.0,teaspoon,minced
254,2 cups grated Monterey Jack,Monterey Jack,2.0,0.0,cup,grated
255,2/3 cup corn oil,corn oil,0.67,0.0,cup,
256,2 cups buttermilk,buttermilk,2.0,0.0,cup,
257,1 teaspoon baking soda,baking soda,1.0,0.0,teaspoon,
258,1 teaspoon salt,salt,1.0,0.0,teaspoon,
259,4 lightly beaten eggs,eggs,4.0,0.0,,lightly beaten
260,2 cups stone-ground yellow cornmeal,cornmeal,2.0,0.0,cup,stone-ground yellow
261,"2 8 1/2-ounce cans, or 2 cups plus 2 tablespoons cream-style corn",cream-style corn,17.0,0.0,ounce,"2 cans, or 2 cups plus 2 tablespoons"
262,"Creme fraiche for topping, optional",creme fraiche,0.0,0.0,,"for topping, optional"
263,4 tablespoons regular or low-fat sour cream,sour cream,4.0,0.0,tablespoon,regular or low-fat
264,1 tablespoon grated lime rind,lime rind,1.0,0.0,tablespoon,grated
265,4 teaspoons lemon juice,lemon juice,4.0,0.0,teaspoon,
266,Salt to taste,Salt,0.0,0.0,,to taste
267,1/4 teaspoon ground cloves or to taste,cloves,0.25,0.0,teaspoon,ground or to taste
268,1 1/4 teaspoon ground cardamom,cardamom,1.25,0.0,teaspoon,ground
269,3 tablespoons maple syrup,maple syrup,3.0,0.0,tablespoon,
270,3 eggs,eggs,3.0,0.0,,
271,3 pounds sweet potatoes,sweet potatoes,3.0,0.0,pound,
272,1 cup good quality chicken stock (approximately),chicken stock,1.0,0.0,cup,good quality (approximately)
273,2 lightly beaten eggs,eggs,2.0,0.0,,lightly beaten
274,Salt and freshly ground black pepper to taste,Salt and black pepper,0.0,0.0,,freshly ground to taste
275,1 cup finely minced celery,celery,1.0,0.0,cup,finely minced
276,1 1/2 cups green bell peppers,green bell peppers,1.5,0.0,cup,
277,"2 large cloves garlic, minced",garlic,2.0,0.0,clove,minced
278,2 cups finely chopped onion,onion,2.0,0.0,cup,finely chopped
279,2 tablespoons unsalted butter,unsalted butter,2.0,0.0,tablespoon,
280,"2 hard-cooked eggs, chopped",eggs,2.0,0.0,,"hard-cooked, chopped"
281,5 cups toasted bread cubes,bread cubes,5.0,0.0,cup,toasted
282,5 cups corn bread cubes,corn bread cubes,5.0,0.0,cup,
283,2/3 cup coarsely chopped pecans,pecans,0.67,0.0,cup,coarsely chopped
284,6 tablespoons Grand Marnier,Grand Marnier,6.0,0.0,tablespoon,
285,1/4 cup orange juice,orange juice,0.25,0.0,cup,
286,1/2 to 3/4 cup sugar,sugar,0.5,0.75,cup,
287,1 pound fresh cranberries,cranberries,1.0,0.0,pound,fresh
288,2 tablespoons coarse sugar like Demerara or turbinado (optional),sugar,2.0,0.0,tablespoon,coarse like Demerara or turbinado (optional)
289,"2 sheets frozen puff pastry, thawed overnight in refrigerator",puff pastry,2.0,0.0,sheet,"frozen, thawed overnight in refrigerator"
290,1/8 teaspoon salt,salt,0.13,0.0,teaspoon,
291,Flour for rolling out pastry,Flour,0.0,0.0,,for rolling out pastry
292,1 tablespoon fresh lemon juice,lemon juice,1.0,0.0,tablespoon,fresh
293,"1 cup peeled and grated tart apple, like Granny Smith (about 2 apples)",tart apple,1.0,0.0,cup,"peeled and grated, like Granny Smith (about 2 apples)"
294,1/2 teaspoon ground cinnamon,cinnamon,0.5,0.0,teaspoon,ground
295,6 tablespoons granulated sugar,sugar,6.0,0.0,tablespoon,granulated
296,1 tablespoon finely chopped crystallized ginger,crystallized ginger,1.0,0.0,tablespoon,finely chopped
297,2/3 cup crumbled amaretti cookies,amaretti cookies,0.67,0.0,cup,crumbled
298,"1/8 teaspoon ground nutmeg, optional",nutmeg,0.13,0.0,teaspoon,"ground, optional"
299,"1/4 teaspoon ground cinnamon, optional",cinnamon,0.25,0.0,teaspoon,"ground, optional"
300,1/3 cup granulated sugar,sugar,0.33,0.0,cup,granulated
301,8 egg yolks,egg,8.0,0.0,,yolks
302,"1 vanilla bean, split lengthwise",vanilla bean,1.0,0.0,,split lengthwise
303,3 cups heavy cream,heavy cream,3.0,0.0,cup,
304,1 cup canned pumpkin puree,pumpkin puree,1.0,0.0,cup,canned
305,Freshly ground white pepper,white pepper,0.0,0.0,,Freshly ground
306,1/4 teaspoon ground cloves,cloves,0.25,0.0,teaspoon,ground
307,1/4 teaspoon ground allspice,allspice,0.25,0.0,teaspoon,ground
308,1/4 cup red wine vinegar,red wine vinegar,0.25,0.0,cup,
309,1/2 cup maple syrup,maple syrup,0.5,0.0,cup,
310,Salt,Salt,0.0,0.0,,
311,1 cup heavy cream,heavy cream,1.0,0.0,cup,
312,"1 celery root, about 1 1/2 pounds, peeled and cut in chunks",celery root,1.0,0.0,,"about 1 1/2 pounds, peeled and cut in chunks"
313,"Sesame oil for drizzling, optional",Sesame oil,0.0,0.0,,"for drizzling, optional"
314,"1/2 cup roasted peanuts, optional",peanuts,0.5,0.0,cup,"roasted, optional"
315,1/4 cup minced scallions,scallions,0.25,0.0,cup,minced
316,"1/4 cup crispy cooked bacon, minced, optional",bacon,0.25,0.0,cup,"crispy cooked, minced, optional"
317,Soy sauce or salt to taste,Soy sauce,0.0,0.0,,or salt to taste
318,"1/4 pound slab bacon, optional",slab bacon,0.25,0.0,pound,optional
319,"1 3-inch piece of ginger, peeled and roughly chopped",ginger,1.0,0.0,piece,"1 3-inch piece of, peeled and roughly chopped"
320,1 cup short-grain rice,short-grain rice,1.0,0.0,cup,
321,"2 cups chicken stock, preferably homemade, or water",chicken stock,2.0,0.0,cup,"preferably homemade, or water"
322,3 tablespoons extra-virgin olive oil,olive oil,3.0,0.0,tablespoon,extra-virgin
323,1 tablespoon chili powder,chili powder,1.0,0.0,tablespoon,
324,"6 cups cooked pinto or kidney beans, or a mixture",beans,6.0,0.0,cup,"cooked pinto or kidney, or a mixture"
325,1/2 cup fresh lime juice,lime juice,0.5,0.0,cup,fresh
326,3 ripe Haas avocados,Haas avocados,3.0,0.0,,ripe
327,"1 fresh jalapeno pepper, seeded and minced",jalapeno pepper,1.0,0.0,,"fresh, seeded and minced"
328,"2 medium-size cucumbers, peeled and seeded",cucumbers,2.0,0.0,,"medium-size, peeled and seeded"
329,"1 large red bell pepper, cored and seeded",red bell pepper,1.0,0.0,,"large, cored and seeded"
330,2 medium-size red onions,red onions,2.0,0.0,,medium-size
